timestamp,TCP_packets,TCP_bytes,TCP_flags,ARP_packets,ARP_bytes,UDP_packets,UDP_bytes,TLS_detected,QUIC_packets,QUIC_bytes,ICMP_packets,ICMP_bytes,minute
2024-10-02 16:15:50.809202,1.0,4194.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.809207,1.0,3702.0,PA,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.809383,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.809509,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.817957,1.0,177.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.864610,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.867511,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.868137,1.0,139.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.868733,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.885456,1.0,172.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.923856,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.935034,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.936358,1.0,261.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.936381,1.0,754.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.936383,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.936587,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.937114,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.942999,1.0,177.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.975098,1.0,55.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.975195,1.0,55.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.992884,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.992905,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.993455,1.0,139.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.994589,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.005593,1.0,178.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.023499,1.0,66.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.024722,1.0,66.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.048805,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.057288,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.058393,1.0,260.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.058409,1.0,1023.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.058421,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.058565,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.059156,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.068966,1.0,177.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.118385,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.119088,1.0,143.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.119107,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.119739,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.134263,1.0,179.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.178974,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.183852,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.185534,1.0,138.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.185566,1.0,993.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.185570,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.185746,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.186317,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.193925,1.0,177.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.290974,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.296810,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.296818,1.0,139.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.297204,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.306504,1.0,171.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.333564,1.0,55.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.351866,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.355825,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.358620,1.0,260.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.358635,1.0,1203.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.358636,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.358799,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.359036,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.361911,1.0,177.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.383354,1.0,66.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.411292,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.413322,1.0,139.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.413342,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.415460,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.431858,1.0,182.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.469904,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.481748,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.482915,1.0,140.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.483416,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.483435,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.483445,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.483608,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.483635,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.483708,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.484014,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.484143,1.0,2814.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.484180,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.485079,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.485121,1.0,936.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.485510,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.485775,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.497677,1.0,177.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.540434,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.546913,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.547525,1.0,139.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.548721,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.584942,1.0,194.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.602880,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.634465,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.635635,1.0,163.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.635649,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.635789,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.635911,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.635923,1.0,584.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.635925,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.636451,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.636529,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.643598,1.0,177.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.645805,1.0,55.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.691566,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.692829,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.693670,1.0,139.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.693679,1.0,66.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.693947,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.710702,1.0,192.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.747749,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.761388,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.762572,1.0,211.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.762588,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.762617,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.762759,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.762947,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.762953,1.0,300.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.762957,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.763022,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.763179,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.771824,1.0,177.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.819523,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.821262,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.821862,1.0,139.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.822327,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.855662,1.0,170.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.876735,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.905295,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.906378,1.0,246.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.906400,1.0,359.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.906402,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.906404,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.906562,1.0,66.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.906680,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.906831,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.907128,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.934272,1.0,187.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.964722,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.983885,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.984904,1.0,185.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.984923,1.0,774.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.984931,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.985116,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:51.985567,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.015266,1.0,173.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.039515,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.065557,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.066526,1.0,247.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.066551,1.0,1185.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.066562,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.066815,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.067388,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.093432,1.0,170.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.121451,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.142863,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.144567,1.0,185.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.144919,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.144929,1.0,160.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.144931,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.145153,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.145338,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.198406,1.0,169.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.205348,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.248091,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.249106,1.0,162.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.249120,1.0,748.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.249132,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.249298,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.249626,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.258664,1.0,178.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.304325,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.308186,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.309629,1.0,174.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:52.309990,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
